"filename", "language", "YAML", "JSON", "Markdown", "C++", "Swift", "Dart", "HTML", "XML", "Groovy", "Properties", "comment", "blank", "total"
"d:\myflutterapp\shop_app\lib\screens\home\cateogries.dart", "Dart", 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 2, 6, 198
"d:\myflutterapp\shop_app\lib\screens\home\favorites.dart", "Dart", 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 30, 4, 172
"d:\myflutterapp\shop_app\lib\screens\home\home.dart", "Dart", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 15, 4, 65
"d:\myflutterapp\shop_app\lib\screens\home\products.dart", "Dart", 0, 0, 0, 0, 0, 431, 0, 0, 0, 0, 119, 10, 560
"d:\myflutterapp\shop_app\lib\screens\home\settings.dart", "Dart", 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 1, 5, 193
"d:\myflutterapp\shop_app\lib\screens\products\product.dart", "Dart", 0, 0, 0, 0, 0, 312, 0, 0, 0, 0, 4, 5, 321
"d:\myflutterapp\shop_app\lib\screens\search.dart", "Dart", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"d:\myflutterapp\shop_app\lib\screens\settings\faq.dart", "Dart", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 5, 122
"d:\myflutterapp\shop_app\lib\screens\sign\login.dart", "Dart", 0, 0, 0, 0, 0, 205, 0, 0, 0, 0, 0, 6, 211
"d:\myflutterapp\shop_app\lib\screens\sign\on_boarding.dart", "Dart", 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 5, 128
"d:\myflutterapp\shop_app\lib\screens\sign\signUp.dart", "Dart", 0, 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 7, 203
"d:\myflutterapp\shop_app\lib\sharedpreference\sharedpreference.dart", "Dart", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 7, 33
"d:\myflutterapp\shop_app\lib\style\theme.dart", "Dart", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 4, 53
"d:\myflutterapp\shop_app\lib\widgets\buttonMain.dart", "Dart", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 3, 53
"d:\myflutterapp\shop_app\lib\widgets\textFieldGrey.dart", "Dart", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 1, 3, 92
"d:\myflutterapp\shop_app\pubspec.yaml", "YAML", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 92
"d:\myflutterapp\shop_app\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 14, 6, 99
"d:\myflutterapp\shop_app\web\manifest.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 76, 168, 13, 1, 12, 3318, 79, 131, 79, 8, 245, 277, 4407
